texts,destination
สอบถามยอดว่าโทรเกินไปแล้วหรือยัง,billing and payment
น้องคะพี่อยากแก้ไขที่อยู่ ที่จัดส่งใบแจ้งหนี้,billing and payment
ซื้อโทรศัพท์มาค่ะ มันเล่นเน็ตไม่ได้ โทรออกไม่ได้ด้วยคะ,billing and payment
ต้องการเปลี่ยนที่อยู่จัดส่งบิล,billing and payment
สอบถามยอค้างชำระค่ะ,billing and payment
เมื่อสักครูได้รับ SMS การหักผ่านบัตรเครดิตไม่ได้ครับ,billing and payment
เมื่อกี้มีเงินอยู่ กว่า บาท มีข้อความมาเหลือ บาท,billing and payment
ช่วยดูหน่อยครับชำระเงินแล้ว ทำไมโทรศัพท์ยังโทรออกไม่ได้,billing and payment
ครับ พอดีผมอยากจะถามเกี่ยวกับค่าบริการของหมายเลขครับ,billing and payment
ทำไมค่าใช้จ่ายใน Bill สูงผิดปกติ,billing and payment
ชำระเงินผ่านหน้าเว็บไซต์,billing and payment
สวัสดีค่ะพี่คะ จะสอบถามหน่อยอะคะ พอดีว่าเมื่อเช้าจะโทรศัพท์ออกอะคะ คือว่าเมื่อวันที่ มันเป็นวันที่ต้องชำระค่าบริการครับสุดท้าย แล้วทีนี้หนูลืมอะคะ หนูเลยไปชำระมาเมื่อเช้าแล้วลองโทรออกก็ยังโทรไม่ได้อยู่อะคะ เค้าให้ติดต่อ customer care ค่ะ,billing and payment
ขอเพิ่มวงไง,billing and payment
มียอดค่าชำระเท่าไหร่ ของเดือนนี้ และเดือนที่ผ่านมาครับ,billing and payment
ผมไม่เคยใช้ทรูมูฟเลย ทำไมต้องเรียกเก็บตังครับ,billing and payment
ต้องการซื้อวันเพิ่มจะทำยังไง,billing and payment
ค่ะ คือว่าเบอร์หนูถูกระงับใช้น่ะค่ะ จะต้องทำยังไงคะ,billing and payment
อยากทราบรายละเอียด ของเอกสารแจ้งยอดชำระบริการ ล่วงหน้า เดือน.,billing and payment
จะโทรมาเปิดเบอร์นะคะ รายเดือนนะคะ,billing and payment
ช่วยเช็คให้หน่อยว่า แพ็กเกจที่สมัครใช้ได้หรือยัง,billing and payment
ค่ะ สวัสดีค่ะ พอดีจะสอบถามเกี่ยวกับยอดค่าใช้จ่ายนะคะ ยอดค้างชำระค่ะ,billing and payment
สอบถามเรื่องบิล ผมค้าง เดือน โดนระงับครับ เพิ่งชำระเมื่อต้นเดือนกุมภาเองครับ,billing and payment
เปลี่ยนซิมเป็นทรูเอช แล้วใช้งานไม่ได้นะคะ,billing and payment
"ชำระค่าบริการผ่านเซเว่นมาแล้ว ช่วยเปิดสัญญาณให้ด้วย
คุยไว้แล้วว่าจ่ายแล้วจะเปิดสัญญาณให้",billing and payment
ใช้ทรูมูฟย้ายมาทรูมูฟเอชมีข้อความส่งมาว่าย้ายให้ได้วันที่ ยังไม่ได้เปลี่ยนซิม แต่ตอนนี้ทรูมูฟโทรออกไม่ได้แล้ว,billing and payment
สอบถามเกี่ยวกับบิลลิ่ง ของงวดที่แล้ว,billing and payment
ค่ะ อยากสอบถามยอดเบอร์ - ค่ะ,billing and payment
น้องคะ พี่อยากทราบว่าโทรศัพท์ของพี่ได้เพิ่มวงเงินหรือยังคะ,billing and payment
อยากทราบว่าเบอร์นี้ สมัครข้อความอะไรบ้างเปล่าครับ,billing and payment
หนูจะสอบถามยอดหน่อยค่ะ ใช้ข้อความไปเท่าไร แล้วก็โทรเกินหรือเปล่าคะ,billing and payment
คือว่าโทรศัพท์หนูโดนตัด แล้วเคยโทรมาเปิดสัญญาณแล้วรอบนึง ถ้าตอนนี้จ่ายที่ - มาก่อนจะได้ปล่อยสัญญาณมาก่อนมั้ยคะ,billing and payment
สอบถาม โปรโมชั่น และวันตัดรอบบิล,billing and payment
ครับ อยากทราบยอดชำระอ่ะครับ ,billing and payment
เติมเงินแล้วขึ้น sorry ตลอดเลยครับ,billing and payment
ตอนนี้มันใช้สามจีไม่ได้ มันเกินวงเงินเหรอ,billing and payment
ชำระค่าบริการมาแล้วมันยังใช้ไม่ได้,billing and payment
สวัสดีค่ะ พอดีอยากจะเปิด GPRS ค่ะ,billing and payment
จะรบกวนสอบถามคะ จะตรวจสอบยอดโทรคะ,billing and payment
จะเพิ่ม วงเงิน และ เปิดบริการเสริม ค่าโทรเพิ่มเติม,billing and payment
ยกเลิกบริการแล้วแต่ทำไมยังมี Bill /ยอดเรียกเก็บอีก,billing and payment
สวัสดีค่ะ สอบถามยอดใช้ค่าบริการค่ะ,billing and payment
คะ จะขอให้เปิดโทรศัพท์ก่อนค่ะ โทรศัพท์โดนตัด,billing and payment
ขอเปิด สัญญาณครับ เจอเครื่องหายแล้ว,billing and payment
ขอตรวจสอบชื่อที่ลงทะเบียนในซิมหน่อยครับ,billing and payment
คือผมจะให้เช็คยอดเงินที่ใช้งานให้หน่อยอ่ะครับ,billing and payment
ลูกค้า สอบถาม ยอด คงเหลือ,billing and payment
เดือนนี้โทรเกินมา กว่าบาทอยากทราบว่ามันเกินในส่วนไหนบ้าง,billing and payment
อยากทราบ ยอดรวมต้องชำระของหมายเลขนี้.,billing and payment
คือว่าสมัครไอ้ตัว SMS ข้อความ บาทอ่ะค่ะ ที่นี้ถ้าอยากจะเช็คว่ามันเกินจากที่เราส่งหรือยังไงเนี่ย จะต้องเช็คที่อะไรเบอร์อะไร,billing and payment
หวัดดีครับ ถามยอดคงเหลือหน่อย,billing and payment
เบอร์ผมถูกระงับหน่ะครับ,billing and payment
อยากสอบถามว่า เราสามารถโอนเงินในโทรศัพท์ของเราไปอีกเบอร์ได้หรือไม่คะ,billing and payment
ครับ พอดีไม่มีสัญญาณอ่ะครับ,billing and payment
ผมจะใช้ซิมทรูมูฟเอชครับ ตอนนี้ใช้มาไม่ได้สามวันแล้ว,billing and payment
จ่ายค่าบริการไปแล้วจะโทรออกได้เมื่อไหร่,billing and payment
ทำยังไงดี โทรออกไม่ได้ ไม่รู้ใช้อะไรเกินหรือเปล่า เช็คให้หน่อยคะ,billing and payment
ต้องการสอบถามว่าเดือนนี้ชำระเงินหรือยังครับ,billing and payment
พี่ค่ะพอดี ดทรศัพท์มันโดนตัดเมื่อตะกี้ แล้วพอดีกำลังติดต่องานอยู่หน่ะค่ะ ไม่ทราบว่าจะเปิดแปปนึงแล้วตอนเย็นไปจ่ายได้มั้ยค่ะ,billing and payment
ผมขอเปิดใช้สัญญาณอินเตอร์เน็ต,billing and payment
อยากจะโทรมาสอบถามเรื่องค่าใช่จ่ายโทรศัพท์ค่ะ,billing and payment
อยากจะทราบยอดที่ต้องจ่ายครับ,billing and payment
สอบถาม ยอด ค้าง และ บริการ วีเอ็มเอส,billing and payment
พอดีใช้แบบเหมาจ่ายอยากจะเช็คยอดว่าใช้ไปกี่นาทีทำได้ไงคะ,billing and payment
ผมจะสอบถามเรื่องของค่าบริการมือถือ เมื่อกี้ผมได้ Messageมาว่าใช้เกินวงเงิน ผมก็เลยไปจ่ายค่าบริการผ่านทาง - ตอนนี้สัญญาณมันยังไม่ถูกปลดล็อคเลย,billing and payment
จะให้ช่วยเช็คยอดค่าโทรทรูมูฟให้หน่อยได้มั้ยค่ะ,billing and payment
ครับหวัดดีครับ เออผมอยู่แถวตลิ่งชันนะครับไม่ว่าทราบสัญญาณอะไรขัดข้องหรือเปล่า,billing and payment
เมื่อวานผมเติมเงินผิดประเภทครับ,billing and payment
พี่ซื้อ iphone แล้วเสียงมันหายหมดเลยพี่ต้องเอาไปเข้าศูนย์ที่ไหนค่ะ,billing and payment
ฮาโหลคะพี ตรวจสอบยอดค่าใช้บริการคะ,billing and payment
ครับ เรื่องที่ถูกระงับสัญญาณครับ เพิ่งชำระเมื่อกี่ผ่าน - ครับ,billing and payment
อยากสอบถามว่า วิธีการเติมเงิน ผมลืมนะครับพี่,billing and payment
พอดีอยากยอดคงเหลือเบอร์นี้ที่ใช้ได้,billing and payment
อยากทราบว่าเพกเกจนี้หมดแล้วยังคะ,billing and payment
อยากทราบว่าค่าบริการนี้ สามจีใช้เกินยังครับ,billing and payment
คือว่าอยากทราบว่า เดือนนี้มีบิลเรียกเก็บมาตั้งสามใบอ่ะค่ะ,billing and payment
พอดีอยากเช๊คค่าโทรโทรศัพท์ค่ะว่า เสียค่าอะไรบ้างค่ะ,billing and payment
โทรศัพท์ไม่สามารถโทรเข้าได้ค่ะ,billing and payment
"เมื่อกี้โทรเข้ามาทีแล้ว อยากจะให้ทางทรูมูฟเช็คเบอร์หน่อยเราเป็นตัวแทนเติมเงินให้ลค.เบอร์ คือเราโอนไปให้แล้วประมาณวันจันทร์ที่ 
คือ บาท กับ บาท คือ ลค.ยังไม่ได้เงินเข้าเบอร์เค้าเลยอยากจะให้ช่วยเช็คให้หน่อยได้มั้ยค่ะ",billing and payment
สวัสดีค่ะ สอบถามเบอร์โทรศัพท์ คือตอนนี้โทรศัพท์มันเหมือนโดนระงับใช้บริการค่ะ,billing and payment
สอบถามค่าบริการเบอร์นี้ค่ะ,billing and payment
ไม่มีบิลค่าบริการมาที่บ้าน เลยไม่รู้ว่าต้องจ่ายเงินเท่าไรอ่ะค่ะ,billing and payment
โทรศัพท์โดนตัดสัญญาณครับ,billing and payment
อยากสอบถามว่าเบอร์นี้มียอดค้าง อีกไหม ค่ะ,billing and payment
จะสอบถามค่าบริการที่ค้างทั้งหมด ของเบอรร์นี้อ่ะค่ะ,billing and payment
พอดีจ่ายค่าบริการแล้วแต่ยังใช้งานไม่ได้ค่ะ,billing and payment
ขอสอบถามยอดหน่อยครับพอดีเบอร์โดนตัดครับ,billing and payment
ตรวจสอบยอดบิล,billing and payment
เพิ่งจ่ายค่าโทรศัพท์ไปโทรศัพท์โดนระงับครับไม่ทราบว่าจะใช้ได้อีกเมื่อไหร่,billing and payment
อาทิตย์ที่แล้วเพิ่งเปลี่ยนโปร อยากรู้เป็นไวไฟไม่จำกัดหรือเปล่า,billing and payment
อยากสอบถามเรื่องยอดค่าใช้บริการ ค่ะ,billing and payment
อยากสอบถามค่ะ ไม่เคยเอาเบอร์นี้มาใช้ แต่ตอนนี้มีใบแจ้งหนี้ส่งมาที่บ้านค่ะ,billing and payment
จะสอบถามใบแจ้งค่าบริการ ไม่เห็นเดือนที่แล้วได้ใบแจ้งค่าบริการค่ะ แล้วตอนนี้มันชนเดือนแล้ว,billing and payment
ติดต่อถามเกี่ยวกับทรูมูฟรายเดือน พอดีเป็นของบริษัทแต่ใช้ไม่ได้ครับ,billing and payment
โทรศัพท์โดนระงับสัญญาณค่ะ เป็นเพราะอะไรค่ะ,billing and payment
หนูอยากรู้ว่ามือถือหนูโดนตัดเพราะอะไรหรอ มันโดนระงับสัญญาณ,billing and payment
อยากทราบยอดค่าใช้จ่ายขอเบอร์อะค่ะ,billing and payment
เบอร์โทรศัพท์มันโทรออกไม่ได้ครับ,billing and payment
ครับผมครับ อยากจะทราบแพคเกจที่ปัจจุบันนี่คงเหลือเท่าไหร่ครับ,billing and payment
อยากจะสอบถามว่าเมื่อวานไปชำระและเบียนโปรโมชั่น มี SMS มาแจ้งว่าใช้งานอินเตอรืเน๊ตไป ค่ะ แต่สมัคร เป๊นโปร เน้นโทรอย่างเดว,billing and payment
เพิ่มเติมข้อความใน ที่อยู่ ในส่วนของ ใบแจ้งหนี้ เนื่องจากไม่คบ ทางบัญชี มีปัญหาในการ ชำระเงิน ครับ,billing and payment
พี่ หนูอยากจะถามโอนวันหน่ะค่ะ ของทรูมูฟเหมือนกัน,billing and payment
ชำระค่าบริการมาแล้ว ช่วยเปืดส/ญให้หน่อยค่ะ,billing and payment
ขูดบัตรแล้วเลขมันหายไปอ่ะครับ,billing and payment
"ผมได้ทำการ แอด สิทธิรับส่วนลด % สำหรับพนักงาน แต่ยังไม่มีผล
สามารถชำระค่าบริการเข้ามาก่อนได้หรือไม่",billing and payment
สอบถามบิล ตอนนี้ยังไง เท่าไรแล้ว,billing and payment
รบกวนขอสอบถามนะครับ ค่า Internet ที่เกินมา มันแจ้งว่าเป็น Web/WiFi/Edge/GPRS,billing and payment
คะ เออ จะสอบถามนิดนึง มีเบอร์ เบอร์อีกเบอร์ของพี่มันถูกระงับการใช้งาน,billing and payment
เอ่อ... พอดีเติมเงินไม่ได้ครับ,billing and payment
อ่าพอดีผมต้องการให้เปิดสัญญาณ จี พี อาร์ เอส และ เอ็ม เอ็ม เอส ให้หน่อยครับ,billing and payment
สอบถามหน่อยนะครับ ค่าบริการเซอวิสอะไรนั้น บาท ในบิลมันคืออะไรครับ,billing and payment
จะถามเรื่องการส่งรูปMMSค่ะ ส่งไม่ได้ค่ะ,billing and payment
มีหนังสือจากสำนักงานกฎหมายแจ้งมาว่าค้างชำระ,billing and payment
ค่ะ คือสอบถามเกี่ยวกับการใช้บริการของ True Move นะคะ เอ่อ คือ เรายังไม่ได้ใช้บริการของคุณเลย ทำไมมีบิลมาเก็บค่าบริการค่ะ,billing and payment
ต้องการเปิดใช้งาน internet ว่าเบอร์ที่ใช้งานเล่นเน็ตได้หรือไม่,billing and payment
"อยากจะสอบถามว่า ดิฉันใช้ดปร ได้ส่วนลด % ได้ค่าโทร นาทีแต่ตอนนี้ ค่าการโทรเหลือ นาที ที่จริงยังไม่ได้โทรเลย
เกิดจากอะไรค่ะ",billing and payment
สอบถามยอด เงิน คงเหลือ ค่ะ,billing and payment
มันมีข้อความส่งมาว่ามียอดอะไรเกินออกมา บาท จะเช็คว่ามันเป็นยอดอะไร,billing and payment
โทรศัพท์โทรเข้า โทรออก คนปลายทางไม่ได้ยินค่ะ,billing and payment
ต้องการเช็ครายละเอียดค่าโทรครับ,billing and payment
ได้ซิมมาทั้งโทรทั้งเล่นเน๊ต แต่ว่าเบอร์ผมมันเปิดใช้งานรึยังครับมันเปิดเล่นเน๊ตไม่ได้ครับผม,billing and payment
ขอเปิดสัญญาณมือถือ,billing and payment
เบอร์ผมถูกระงับอะ,billing and payment
จะถามว่าไม่ทราบว่าเกินรอบบิลแล้วหรือเปล่าคะ เห็น SMS ส่งมาว่าเกิน แล้ว บาท,billing and payment
อยากทราบว่าทำไมไม่มีบิลส่งมาอ่ะครับ,billing and payment
จะสอบถามใบเสร็จที่ส่งมา เกี่ยวกับรายละเอียดหน่ะครับ,billing and payment
จะถามว่าคือตอนนี้หนูใช้แบบรายเดือนอยู่ค่ะ จะถามว่าหนูใช้ไปกี่นาทีแล้ว,billing and payment
พอดีว่ามันถูกระงับหน่ะ จะสามารถเพิ่มวงเงินหรือสามารถใช้บริการได้อีก - วันได้ไหมค่ะ,billing and payment
ตอนนี้ ใช้ โปร อะไร,billing and payment
พึ่งไปชำระค่าอินเตอร์เน็ตมา แต่ตอนนี้แจ้งว่าใช้งานไม่ได้ ตอนนี้ยังไม่ได้รับบิลเลย,billing and payment
สอบถามค่าโทรรอบบิลปัจจุบัน,billing and payment
ครับ คือยากสอบถามว่า ขอดู ยอดเงินเหลืออ่ะครับ,billing and payment
อยากจะรบกวนสอบถามวันตัดรอบบิลหน่ะค่ะ,billing and payment
อยากทราบว่าต้องจ่ายค่าบริการเท่าไหร่ครับ,billing and payment
พอดีจะเช็คสัญญาณโทรศัพท์หน่ะค่ะ ,billing and payment
คือเบอร์โดนล็อคอะครับ,billing and payment
เมื่อกี๊ที่โทรมาแจ้งเรื่องการเปิดสัญญาณหน่ะค่ะ จนท.แจ้ง นาที,billing and payment
ใช้เบอร์มือถือแต่ว่า ชำระค่าบริการเป็นปีแล้วบิลส่งมาที่บ้าน ตอนนี้มัน พันแล้ว,billing and payment
ขอทราบค่าบริการของทรูมูฟ ของอินเตอร์เน็ตหน่อยครับ,billing and payment
คะ อยากสอบถามนะค่ะ พอดีว่าไปซื้อซิมทรูมาเมื่อวาน แล้วทีนี้ ยังใช้บริการไม่ได้เลยคะ,billing and payment
ผมโทรมาแจ้งเปลี่ยนที่อยู่ครับ,billing and payment
ค่าโทรศัพท์ที่จะต้องจ่ายเนี่ยมันยอดเท่าไหร่ค่ะ,billing and payment
ขอเปิดสัญญาณเนื่องจากชำระค่าบริการแล้ว,billing and payment
โทรศัพท์ผมถูกตัดครับ ผมชำระไปเมื่อกี้แล้วช่วยเปิดให้หน่อยครับ,billing and payment
อยากจะสอบยอดที่ใช้ ค่ะ,billing and payment
มีปัญหาเกี่ยวกับการใช้ซิมใหม่อ่ะค่ะ,billing and payment
 ฮาโหล คะ พอดีว่าเมื่อวานเปิดซิมทรูมูฟ แต่มันโทรออกไม่ได้คะ แต่เล่นเนตได้คะ,billing and payment
สอบถามยอดค่าบริการค้างชำระ,billing and payment
คืออย่างนี้นะคะ หนูมีซิมอินเตอร์คือหนูค้างไว้ไม่ได้จ่ายรายเดือนค่ะแล้ววันนี้หนูไปชำระที่ - แต่ว่าก็ยังเปิดใช้ไม่ได้อะค่ะ ไม่ทราบว่าซิมCancelไปหรือเปล่าคะ,billing and payment
ปัญหาตัวเครื่อง,billing and payment
ค่ะ อยากจะสอบถามเรื่องชำระเงินอ่ะค่ะ คือชำระเงินไปแล้วอ่ะค่ะ แต่มันยังขึ้นยอดค้างชำระแจ้งมาอยู่เลยอ่ะค่ะ,billing and payment
ครับสวัสดีครับหมายเลข เมื่อวานนี้ผมได้เติมเงินเข้าไปรู้สึกว่ามันจะระงับมั้ง,billing and payment
คะ คือ ที่แจ้งว่าระงับสัญญาณแล้วให้ไปจ่ายค่าบริการแล้วแต่ระบบยังไม่เปิดบริการให้คะ,billing and payment
ช่วยเช็คยอดคงเหลือเบอร์ ,billing and payment
รู้สึกว่าผมจะโทรออกไม่ได้,billing and payment
อยากให้เช็คยอดค่าบริการเบอร์นี้หน่อยค่ะ ,billing and payment
มันไม่ขึ้นสัญญาณทรูมูฟเฮชครับ,billing and payment
จะขอเปลี่ยนที่อยู่ในการส่งเอกสารนะคะ,billing and payment
ตอนนี้เบอร์ผมถูกระงับการใช้ครับ,billing and payment
เบอร์นี้หนูชำระยอดขั้นต่ำไปแล้ว ไม่ทราบว่าใช้งานได้รึยังค่ะ,billing and payment
สอบถามยอดเงินคงค้างค่ะ,billing and payment
ฮัลโหลครับ คือผมอยากจะสอบถามเรื่องบิลค่าโทรศัพท์อะครับ คือตอนแรกผมเป็นของฮัทช์อะครับ แล้วซิมฮัทช์ผมมีเงินเหลืออยู่ประมาณสองร้อยกว่าบาทอะครับ แล้วตอนนี้ผมมาเปลี่ยนเป็นของทรู พอซิมใหม่เบอร์เก่า ซิมทรูไม่มีตังค่าโทรเลย,billing and payment
อยากสอบถามยอดค่าบริการค่พะ มียอดค้างเท่าไหร่คะ,billing and payment
ครับ สวัสดีครับ จะถามเกี่ยวกับจำนวนนาทีครับ เราจะเช็คว่าเราใช้เกินไปกี่นาที เราจะเช็คทางไหนได้บ้างครับ,billing and payment
เช็คยอดโบนัสไม่ได้อะพี่,billing and payment
สวัสดีค่ะ พี่ต้องการเปิดสัญญาณชั่วคราวค่ะ,billing and payment
เครื่องโทรศัพท์เสียค่ะ,billing and payment
คะ ขอเรียนถามหน่อยนะคะ เราไม่เคยเปิดใช้เบอร์นี้เลยคะ แต่ทำไมมียอดค่าบริการมาคะ,billing and payment
ต้องการเปลี่ยนวันตัดรอบบิลค่ะ,billing and payment
ตรวจสอบยอดเงินคงเหลือค่ะ,billing and payment
จะสอบถามสัญญาณของลูกค้าอ่ะค่ะ,billing and payment
ทำไมหมายเลขนี้โดนระงับสัญญาณ ครับ,billing and payment
สอบถามยอดค้างชำระ แล้วจะขอเปิดสัญญาณ,billing and payment
ผมอยากจะทราบบิลของทรูมูฟของผม ยังไม่มาเลย,billing and payment
สวัสดีค่ะจะรบกวนนิดนึงอ่ะค่ะ พอดีเมื่อกี้คุยๆอยู่แล้วโทรศัพท์มันตัดไป จะรบกวนเปิดบริการให้นิดนึงได้มั้ยค่ะ,billing and payment
อยากจะสอบถามค่าบริการของหมายเลขนี้อ่ะค่ะ,billing and payment
ทางบริษัทส่งข้อความมาบอกว่าเพิ่มวงเงินเป็น บาท,billing and payment
ติดต่อมาจะขอเปิดสัญญาณ ชำระค่าบริการเรียบร้อยแล้ว,billing and payment
ว่า โปรโมชั่น ที่ซื้อ เพิ่ม ยังมีเหลืออีกกี่นาทีค่ะ,billing and payment
ผมอยากทราบบิลที่ผมค้างชำระอยู่ครับ,billing and payment
ชำระค่าโทรศัพท์ไป แต่ยังไม่เปิดสัญญาณค่ะ,billing and payment
เช็คโทรศัพท์หนูให้หน่อยค่ะ ไม่มีใครโทรเข้าได้เลยอ่ะค่ะ,billing and payment
ผมสอบถามเรื่องยอดค่าใช้จ่ายของ package นิดนึงครับ พอดีของผมเป็น package ที่เป็นโปรโมชั่น เดือนของตัว iPhone,billing and payment
ต้องการเปิดสัญญาณ ชำระเงินไปแล้วที่เซเว่น,billing and payment
ค่ะ จะจ่ายค่าโทรผ่านบัตรเครดิตนะค่ะ,billing and payment
ขอเช็คยอดยังเหลืออยู่ไหมคะเดือนนี้ค่ะ,billing and payment
จะสอบถามว่าเบอร์ที่ถูกระงับแล้ว ถ้าเกิดถึงเดือนต่อไปจะมีค่าอะไรอีกมั้ยคะ,billing and payment
ดูเบอร์นี้หน่อยว่าโดนระงับ แต่มาจ่ายที่ - แล้วเช็คไม่ได้,billing and payment
สวัสดีค่ะ พอดีจะสอบถามค่าใช้บริการค่ะ,billing and payment
ขอรายละเอียดบิลครับชำระหนี้,billing and payment
ผมจะสอบถามเบอร์นี้ครับ ผมจะใช้บริการแต่พอดีถูกตัด,billing and payment
มีข้อความส่งมาว่า คุณใช่งานเกิน บาท ครับ คืออะไร,billing and payment
คือเบอร์นี้ของผมมันโดนตัดอยู่อ่ะครับ,billing and payment
เพิ่งได้รับ บิล ค่าโทรศัพท์ จ่าย ไปแล้ว เช็คให้หน่อยได้มั้ย,billing and payment
คะ สวัสดีคะ จะขอเช็คเบอร์นิดนึงคะ เบอร์....ที่ที่ ชำระค่าบริการไปแล้วคะ แต่โดนระงับสัญญาณคะ,billing and payment
เออ จะสอบถาม ทำไมเบอร์โดนระงับอีกแล้วครับ พึ่งจะจ่ายไป,billing and payment
ตอนแรกใช้โปรใช้ L อยู่ค่ะ แต่ได้แมสเซสว่าปรับวงเงินอะไรสักอย่างค่ะ,billing and payment
เหมือนโทรศัพท์มันใช้เกินวงเงินแล้วพอดีเติมเงินล่วงหน้าไปแล้วมันยังใช้งานไม่ได้ค่ะ,billing and payment
ซิมผมถูกล็อคครับทำยังไง,billing and payment
อยากเช๊คยอดเกินวงเงินครับ,billing and payment
ผมยกเลิกเบอร์ไปแล้วนะครับ ทำไมยังมีบิลมาอยู่เลยอ่ะครับ,billing and payment
สัญญาณชั่วคราว,billing and payment
อยากสอบถามว่ายอดค่าโทรหน่อยครับ,billing and payment
อยากทราบหมายเลขนี้โทรออกไม่ได้คะ,billing and payment
ผมชัยวุฒินะครับ คืออย่างนี้ผมไม่สามารถเล่นอินเตอร์เน็ตได้เพราะจ่ายไม่ครบใช่ไหมครับ,billing and payment
สวัสดีครับ คือว่าผมมีค่าบริการ เดือน ถ้าพรุ่งนี้ผมจะไปจ่ายเงินยังทันอยู่มั้ยครับ ระบบจะตัดวันไหนครับ,billing and payment
พอดีลืมเติมวันหมายเลขถูกยกเลิก,billing and payment
พอดีโทรศัพท์โดนปิดสาย จะดึงเบอร์มาใช้ใหม่ได้ไหมคะ,billing and payment
พอดีจะสอบถามว่าหมายเลขโทรศัพท์ที่ใช้อยู่ปัจจุบันอะค่ะ คือตอนนี้มันโดนตัด คือหนูไม่แน่ใจว่ามันไปเกี่ยวกับว่าวงเงินมันเกินหรือว่าอะไร เช็คให้หน่อยได้มั้ยคะ,billing and payment
ต้องการเปลี่ยนแปลงที่อยู่,billing and payment
จะสอบถามค่าบริการของxxxxxxxxxx เท่าไหร่อ่ะค่ะ,billing and payment
พอดีจะสอบถาม บิล ที่สมัคร Xเอ็กเอล เอาไว้,billing and payment
จะขอเปิดสัญญาณ ,billing and payment
จะสอบถามยอดเงินคงค้างที่ต้องชำระอ่ะค่ะ,billing and payment
ครับ หวัดดีครับ พอดีสัญญาณผมโดนตัดครับ,billing and payment
ขออนุญาตสอบถามยอดค่าใช้บริการ เป็นจำนวนเงินนะครับ,billing and payment
อยากจะสอบถามครับผม ใช้แอร์การ์ด ทรูอะครับ ที่ผมแจ้งไปประวัติเป็นรายเดือนหรือไม่ครับ,billing and payment
เช็คยอดเงินค่ะ,billing and payment
จะให้ดูยอดหน่ะค่ะว่าอินเตอร์เน็ตหนูหมดแล้วหรือยัง,billing and payment
เปิดสัญญาณให้หน่อยครับ โดนตัดไปครบ,billing and payment
มีเช็คเบอร์โทรเข้าออกผ่าน อินเตอร์เน็ต ได้ใช่ไหมค่ะ,billing and payment
พอดีโทรศัพท์ผมโดนระงับอ่ะครับ มันโทรเข้าไม่ได้ด้วยหรอครับ,billing and payment
ซิมโดนล็อกใช่ไหมครับ,billing and payment
คะ อยากจะสอบถามว่า ถ้าเราจะเปลี่ยนเบอร์ได้ไหมคะ,billing and payment
ดิฉันมีปัญหาเรื่องค่าใช้จ่ายของคุณค่ะ,billing and payment
เมื่อตะกี้เติมเงิน ไม่เห็นเข้าเลย,billing and payment
สอบถามเรื่องอินเตอร์เน็ตครับ เรื่องยอดค้างครับ,billing and payment
ขอรายละเอียดการใช้งาน,billing and payment
ขอเพิ่ม วงเงิน ครับ,billing and payment
พี่จะสอบถามเรื่องค่าใช้บริการของพี่เดือนนี้หนะค่ะ,billing and payment
